Date,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel,Saint-Urbain
30 11 2010,962,0,312,628,1 417,990,54,974,0
01 12 2010,511,0,229,388,834,623,28,548,0
02 12 2010,1 072,0,454,632,1 485,994,75,1 135,0
03 12 2010,983,0,523,693,1 440,973,94,1 111,0
04 12 2010,287,0,137,173,374,242,24,461,0
05 12 2010,231,0,51,150,335,204,15,366,0
06 12 2010,312,0,118,216,580,340,11,396,0
07 12 2010,122,0,0,41,102,55,2,0,0
08 12 2010,159,0,0,83,228,97,2,2,0
09 12 2010,152,0,0,140,335,126,0,5,0
10 12 2010,196,0,24,162,376,116,0,1,0
11 12 2010,133,0,8,79,190,67,0,0,0
12 12 2010,67,0,1,29,98,40,0,1,0
13 12 2010,186,0,15,119,323,166,0,45,0
14 12 2010,160,0,0,66,248,92,0,2,0
15 12 2010,157,0,1,105,271,121,0,68,0
16 12 2010,138,0,0,63,287,99,0,99,0
17 12 2010,125,0,8,143,317,82,0,88,0
18 12 2010,90,0,1,61,123,25,0,29,0
19 12 2010,95,0,0,46,102,24,0,32,0
20 12 2010,198,0,14,122,335,98,0,89,0
21 12 2010,259,0,8,157,348,85,0,99,0
22 12 2010,200,0,6,129,321,76,0,81,0
23 12 2010,164,0,0,96,235,70,0,57,0
24 12 2010,83,0,0,52,114,34,0,59,0
25 12 2010,29,0,0,35,28,14,0,17,0
26 12 2010,32,0,0,35,55,17,0,23,0
27 12 2010,50,0,0,53,86,32,0,23,0
28 12 2010,120,0,0,61,96,42,0,40,0
29 12 2010,143,0,0,90,185,60,0,62,0
30 12 2010,149,0,1,122,233,68,0,99,0
31 12 2010,105,0,1,78,159,55,0,115,0
